Name,Prescribed_For,Side_Effects,URL
Phenylephrine,"Phenylephrine is used to relieve nasal discomfort caused by colds, allergies, and hay fever. It is also used to relieve sinus congestion and pressure. Phenylephrine will relieve symptoms but will not treat the cause of the symptoms or speed recovery. Phenylephrine is in a class of medications called nasal decongestants. It works by reducing swelling of the blood vessels in the nasal passages.","['nervousness', 'dizziness', 'sleeplessness']",https://medlineplus.gov/druginfo/meds/a606008.html
Chlordiazepoxide,Chlordiazepoxide is used to relieve anxiety and to control agitation caused by alcohol withdrawal. Chlordiazepoxide is in a class of medications called benzodiazepines. It works by decreasing abnormal electrical activity in the brain.,"['drowsiness', 'dizziness', 'tiredness', 'weakness', 'dry mouth', 'diarrhea', 'upset stomach', 'changes in appetite', 'restlessness or excitement', 'constipation', 'difficulty urinating', 'frequent urination', 'blurred vision', 'changes in sex drive or ability', 'shuffling walk', 'persistent, fine tremor or inability to sit still', 'fever', 'difficulty breathing or swallowing', 'severe skin rash', 'yellowing of the skin or eyes', 'irregular heartbeat']",https://medlineplus.gov/druginfo/meds/a682078.html
Tetrahydrozoline Ophthalmic,"Ophthalmic tetrahydrozoline is used to relieve minor eye irritation and redness caused by colds, pollen, and swimming.","['stinging or burning of the eye', 'blurred vision', 'increased eye redness or irritation', 'headache', 'sweating', 'fast or irregular heartbeat', 'nervousness']",https://medlineplus.gov/druginfo/meds/a682563.html
Abacavir,"Abacavir is used along with other medications to treat human immunodeficiency virus (HIV) infection. Abacavir is in a class of medications called nucleoside reverse transcriptase inhibitors (NRTIs). It works by decreasing the amount of HIV in the blood. Although abacavir does not cure HIV, it may decrease your chance of developing acquired immunodeficiency syndrome (AIDS) and HIV-related illnesses such as serious infections or cancer. Taking these medications along with practicing safer sex and making other lifestyle changes may decrease the risk of transmitting (spreading) the HIV virus to other people.","['headache', 'depression', 'anxiety', 'difficulty falling asleep or staying asleep', 'blisters or peeling skin', 'hives', 'itching', 'difficulty swallowing or breathing', 'excessive tiredness', 'weakness, dizziness or lightheadedness', 'fast or irregular heartbeat', 'muscle pain', 'stomach pain with nausea and vomiting', 'shortness of breath or difficulty breathing', 'flu-like symptoms such as fever, chills, or cough', 'or feeling cold, especially in the arms or legs', 'light-colored bowel movements', 'yellowing of the skin or eyes', 'loss of appetite', 'unusual bleeding or bruising', 'dark yellow or brown urine', 'or pain in the upper right part of stomach']",https://medlineplus.gov/druginfo/meds/a699012.html
Abaloparatide Injection,"Abaloparatide injection is used to treat osteoporosis (condition in which the bones become thin and weak and break easily) in women who have undergone menopause ('change in life,' end of menstrual periods), who are at high risk of fractures (broken bones) (history of fracture from osteoporosis or multiple risk factors for fracture) or who have failed or not tolerated other medications. Abaloparatide injection is also used to treat osteoporosis in men who are at high risk of fracture or who have failed or not tolerated other medications. Abaloparatide injection contains a synthetic form of a natural human hormone called parathyroid hormone (PTH). It works by causing the body to build new bone and by increasing bone strength and density (thickness).","['dizziness', 'sense of spinning', 'headache', 'tiredness', 'upper stomach pain or bloating', 'nausea', 'diarrhea', 'pain in joints', 'redness, pain, or swelling in the area where the medication was injected', 'signs of high blood calcium: nausea, vomiting, constipation, lack of energy, and muscle weakness', 'pain in the lower back or lower stomach', 'painful urination', 'blood in the urine']",https://medlineplus.gov/druginfo/meds/a617038.html
Abatacept Injection,"Abatacept is in a class of medications called selective costimulation modulators (immunomodulators). It works by blocking the activity of T-cells, a type of immune cell in the body that causes swelling and joint damage in people who have arthritis.","['headache', 'runny nose', 'nausea', 'diarrhea', 'stomach pain', 'dizziness', 'heartburn', 'back pain', 'arm or leg pain', 'injection site bruising, redness, and itching', 'nosebleed', 'shortness of breath', 'fatigue, pale skin, fast or irregular heartbeat', 'flu-like symptoms, fever, chills, cough, sore throat, and other signs of infection', ""dry cough that doesn't go away"", 'weight loss', 'night sweats', 'frequent urination or sudden need to urinate right away', 'burning during urination', 'red, hot, swollen area on the skin', 'hives', 'rash', 'itching', 'swelling of the eyes, face, lips, tongue, or throat', 'difficulty breathing or swallowing']",https://medlineplus.gov/druginfo/meds/a606016.html
Idecabtagene Vicleucel Injection,"Idecabtagene vicleucel injection is used to treat certain types of multiple myeloma (a type of cancer of the bone marrow) in adults whose cancer has returned or is unresponsive to at least four other treatments. Idecabtagene vicleucel injection is in a class of medications called autologous cellular immunotherapy, a type of medication prepared using cells from the patient's own blood. It works by causing the body's immune system (a group of cells, tissues, and organs that protects the body from attack by bacteria, viruses, cancer cells, and other substances that cause disease) to fight the cancer cells.","['constipation', 'weight loss', 'loss of appetite', 'mouth pain', 'dry mouth', 'dry eyes', 'decreased urination frequency or amount', 'swelling of the eyes, face, lips, tongue, throat, arms, hands, feet, ankles, or lower legs', 'difficulty swallowing', 'rash', 'hives', 'itching']",https://medlineplus.gov/druginfo/meds/a621024.html
Amphotericin B Lipid Complex Injection,"Amphotericin B lipid complex injection is used to treat serious, possibly life-threatening fungal infections in people who did not respond or are unable to tolerate conventional amphotericin B therapy. Amphotericin B lipid complex injection is in a class of medications called antifungals. It works by slowing the growth of fungi that cause infection.","['stomach pain or cramping', 'heartburn', 'diarrhea', 'weight loss', 'loss of appetite', 'muscle or joint pain', 'injection site redness or swelling', 'pale skin', 'shortness of breath', 'dizziness', 'headache', 'coldness in the hands and feet', 'rash', 'skin blisters', 'wheezing', 'difficulty breathing', 'itching', 'swelling of the face, throat, tongue, lips, eyes', 'bloody vomit', 'black and tarry stools', 'blood in stool', 'yellowing of the skin or eyes', 'decreased urination']",https://medlineplus.gov/druginfo/meds/a601132.html
Abemaciclib,"Abemaciclib is used in combination with tamoxifen (Soltamox) or an aromatase inhibitor such as anastrozole (Arimidex), exemestane (Aromasin), or letrozole (Femara) to treat a certain type of hormone receptor-positive, early breast cancer. Abemaciclib is also used along with fulvestrant (Faslodex) to treat a certain type of hormone receptor-positive, advanced breast cancer (breast cancer that depends on hormones such as estrogen to grow) or breast cancer that has spread to other parts of the body after treatment with an antiestrogen medication such as tamoxifen. Abemaciclib is also used along with anastrozole (Arimidex), exemestane (Aromasin), or letrozole (Femara) as a first treatment of hormone receptor-positive, advanced breast cancer or breast cancer that has spread to other parts of the body. Abemaciclib is also used alone to treat a certain type of hormone receptor-positive, advanced breast cancer or breast cancer that has spread to other parts of the body in people who have already been treated with an antiestrogen medication and chemotherapy. Abemaciclib is in a class of medications called kinase inhibitors. It works by blocking the action of an abnormal protein that signals cancer cells to multiply. This helps slow or stop the spread of cancer cells.","['nausea', 'vomiting', 'stomach pain', 'constipation', 'sores on the lips, mouth, or throat', 'decreased appetite', 'weight loss', 'hair loss', 'itching', 'rash', 'headache', 'changes in taste', 'dizziness', 'joint pain', 'tiredness', 'pain in the upper right part of the stomach', 'yellowing of the skin or eyes', 'loss of appetite', 'bleeding or bruising easily', 'pain in arms or legs', 'swelling of the hands, feet, legs or ankles', 'difficulty breathing or shortness of breath', 'cough with or without mucus', 'chest pain', 'rapid breathing', 'fast, irregular, or pounding heartbeat', 'fever, chills, cough or other signs of infection', 'pale skin']",https://medlineplus.gov/druginfo/meds/a617049.html
Aripiprazole,"Aripiprazole is used to treat the symptoms of schizophrenia (a mental illness that causes disturbed or unusual thinking, loss of interest in life, and strong or inappropriate emotions) in adults and teenagers 13 years of age and older. It is also used alone or with other medications to treat episodes of mania or mixed episodes (symptoms of mania and depression that happen together) in adults, teenagers, and children 10 years of age and older with bipolar disorder (manic-depressive disorder; a disease that causes episodes of depression, episodes of mania, and other abnormal moods). Aripiprazole is also used with an antidepressant to treat depression when symptoms cannot be controlled by the antidepressant alone. Aripiprazole is also used to treat children 6 to 17 years of age who have autistic disorder (a developmental problem that causes difficulty communicating and interacting with others). Aripiprazole may help control irritable behavior such as aggression, temper tantrums, and frequent mood changes in these children. Aripiprazole is also used to treat children 6 to 18 years of age who have Tourette's disorder (a condition characterized by the need to perform repeated motions or to repeat sounds or words). Aripiprazole is in a class of medications called atypical antipsychotics. It works by changing the activity of certain natural substances in the brain.","['headache', 'nervousness', 'restlessness', 'dizziness, feeling unsteady, or having trouble keeping your balance', 'heartburn', 'constipation', 'diarrhea', 'stomach pain', 'weight gain', 'changes in appetite', 'increased salivation', 'pain, especially in the arms, legs, or joints', 'tiredness', 'rash', 'hives', 'itching', 'swelling of the eyes, face, mouth, lips, tongue, throat, hands, feet, ankles, or lower legs', 'difficulty breathing or swallowing', 'seizures', 'changes in vision', 'uncontrollable shaking of the face, tongue, or other body parts', 'problems with coordination or increased falls', 'tightening of the neck muscles', 'throat tightness', 'fever', 'stiff muscles', 'sweating', 'confusion', 'sweating', 'or fast, pounding, or irregular heartbeat']",https://medlineplus.gov/druginfo/meds/a603012.html
